source_id,source_name,source_agency,source_type,source_url,retrieved_at,record_date,raw_file_uri,sha256_hash,public_citation_text
hud_public_housing_buildings_mn002,HUD Public Housing Buildings: MPHA MN002,U.S. Department of Housing and Urban Development,ArcGIS FeatureServer,https://services.arcgis.com/VTyQ9soqVukalItT/ArcGIS/rest/services/Public_Housing_Buildings/FeatureServer/0,2026-06-03T20:27:17Z,2026-04-07,data/raw/source-snapshots/hud_public_housing_buildings_mn002.jsonl,337c3c5419179fc59eb1286a928f8d30140a7215f7832b82f0c394b3f2f986e2,"HUD Public Housing Buildings FeatureServer records for MPHA participant MN002, including development MN002000002 / Scattered Sites."
metrogis_hennepin_minneapolis_parcels_current,MetroGIS Open Parcels: Hennepin County Minneapolis Slice,Minnesota Geospatial Information Office / MetroGIS / Hennepin County,ArcGIS FeatureServer,https://enterprise.gisdata.mn.gov/aghost/rest/services/us_mn_state_mngeo/plan_parcels_open/FeatureServer/1,2026-06-03T20:27:17Z,2026-01-14,data/raw/source-snapshots/metrogis_hennepin_minneapolis_parcels_current.jsonl,d286106297f56a0943983917bca73df3c683cde9530017277bd259045a67a523,Minnesota Geospatial Commons opt-in open parcel compilation for Hennepin County parcels in Minneapolis.
minneapolis_ccs_permits_current,Construction and Code Services Permits,City of Minneapolis Community Planning and Economic Development,ArcGIS FeatureServer,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/CCS_Permits/FeatureServer/0,2026-06-03T20:27:17Z,2026-06-03,data/raw/source-snapshots/minneapolis_ccs_permits_current.jsonl,bc7fd75b0953b03748eceef3386642774e93493d78285af17059c99d9fb5c9a8,City of Minneapolis Construction and Code Services permit records matched to parcels by APN.
minneapolis_city_council_wards,City Council Wards,City of Minneapolis,ArcGIS FeatureServer,https://services.arcgis.com/afSMGVsC7QlRK1kZ/ArcGIS/rest/services/CityCouncilWards_WebEOC/FeatureServer/0,2026-06-03T20:27:17Z,,data/raw/source-snapshots/minneapolis_city_council_wards.jsonl,bc8b2f8d203b23fddba3abc796a318709e7f5555a5fab84aadc99c9d9c56e0f0,City of Minneapolis City Council ward boundary FeatureServer.
minneapolis_neighborhoods,Minneapolis Neighborhoods,City of Minneapolis,ArcGIS FeatureServer,https://services.arcgis.com/afSMGVsC7QlRK1kZ/ArcGIS/rest/services/Minneapolis_Neighborhoods/FeatureServer/0,2026-06-03T20:27:17Z,,data/raw/source-snapshots/minneapolis_neighborhoods.jsonl,e1318379799dc147068f2184b01e59aaa3d626b5f2385db9983b7d1330fb9eef,City of Minneapolis neighborhood boundary FeatureServer.
minneapolis_communities,Minneapolis Communities,City of Minneapolis,ArcGIS FeatureServer,https://services.arcgis.com/afSMGVsC7QlRK1kZ/ArcGIS/rest/services/Minneapolis_Communities/FeatureServer/0,2026-06-03T20:27:17Z,,data/raw/source-snapshots/minneapolis_communities.jsonl,6c1ea2708db466e1f6f2e09e8c665e386163326bc1ca04b424b03bc33d2b0a4a,City of Minneapolis community boundary FeatureServer.
minneapolis_police_precincts,Police Precincts,City of Minneapolis Police Department,ArcGIS FeatureServer,https://services.arcgis.com/afSMGVsC7QlRK1kZ/ArcGIS/rest/services/Police_Precincts/FeatureServer/0,2026-06-03T20:27:17Z,,data/raw/source-snapshots/minneapolis_police_precincts.jsonl,14333ac48f23efa3a06fac888dd3bfa360de2223659600b0c5299f0cd486b1d6,City of Minneapolis Police Department precinct boundary FeatureServer.
minneapolis_mpd_sectors,MPD Sectors,City of Minneapolis Police Department,ArcGIS FeatureServer,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/MPD_Sectors/FeatureServer/0,2026-06-03T20:27:17Z,,data/raw/source-snapshots/minneapolis_mpd_sectors.jsonl,47916552aeca85c4f9f283dab7978105b4136c94c3892a2dc962a9eff95509fe,City of Minneapolis Police Department sector boundary FeatureServer.
minneapolis_city_limits,Minneapolis City Limits,City of Minneapolis,ArcGIS FeatureServer,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/msvcGIS_MinneapolisCityLimits/FeatureServer/0,2026-06-05T15:15:09Z,,data/raw/source-snapshots/minneapolis_city_limits.jsonl,d07ebaff04454bf32b26e80bcb95bbd35258b4c2c619d8f7ed687aa88e97251b,City of Minneapolis city limits boundary FeatureServer.
minneapolis_assessing_parcels_2023,Assessing Department Parcel Data 2023,City of Minneapolis Assessing Department,ArcGIS FeatureServer Table,https://services.arcgis.com/afSMGVsC7QlRK1kZ/ArcGIS/rest/services/Assessing_Department_Parcel_Data_2023/FeatureServer/0,2026-06-03T20:27:17Z,2023-01-01,data/raw/source-snapshots/minneapolis_assessing_parcel_data_2023.jsonl,18e134133aa26465a0d5621fb2a817ebbf1895fa09b39c6cb792ec07b4b8066f,City of Minneapolis Assessing Department Parcel Data 2023 annual public parcel table.
minneapolis_assessing_parcels_2024,Assessing Department Parcel Data 2024,City of Minneapolis Assessing Department,ArcGIS FeatureServer Table,https://services.arcgis.com/afSMGVsC7QlRK1kZ/ArcGIS/rest/services/Assessing_Department_Parcel_Data_2024/FeatureServer/0,2026-06-03T20:27:17Z,2024-01-01,data/raw/source-snapshots/minneapolis_assessing_parcel_data_2024.jsonl,cf7878400428a41e549cb598229ef006ed2e27ec1f4054f40fef716723821fb6,City of Minneapolis Assessing Department Parcel Data 2024 annual public parcel table.
minneapolis_assessing_parcels_2025,Assessing Department Parcel Data 2025,City of Minneapolis Assessing Department,ArcGIS FeatureServer Table,https://services.arcgis.com/afSMGVsC7QlRK1kZ/arcgis/rest/services/Assessing_Department_Parcel_Data_2025/FeatureServer/0,2026-06-03T20:27:17Z,2025-01-01,data/raw/source-snapshots/minneapolis_assessing_parcel_data_2025.jsonl,4da4c89d33dfea934a5ed8440cc47799d5c7eeac37421db3f4c741b1e25deb3e,City of Minneapolis Assessing Department Parcel Data 2025 annual public parcel table.
mpha_properties_overview,MPHA Properties Overview,Minneapolis Public Housing Authority,Website,https://mphaonline.org/properties/,2026-06-03T20:27:17Z,2026-06-03,data/raw/source-snapshots/mpha_properties_overview.jsonl,37f1c7847b04cdf562708e473298783e29ae30037c16e3ae84d5d39d20c17154,"MPHA public properties page listing housing properties with addresses, AMP/CHR labels, property types, unit counts, and build years."
